text_encoder,video_encoder,audio_encoder,train_acc,train_f1,test_acc,test_f1
transformer,lstm,transformer,0.9971259447836107,0.9964663982391357,0.76290193680794,0.7959865927696228
transformer,lstm,cnn,0.9994797081716599,0.9992952942848206,0.7512433163581356,0.7952840328216553
transformer,cnn_rnn,lstm,0.9982833237417282,0.9978858828544617,0.7641771954874839,0.8092728853225708
transformer,cnn_rnn,cnn_rnn,0.9982833237417282,0.9978858828544617,0.7619377355421743,0.7875288724899292
transformer,cnn_rnn,transformer,0.997745688884489,0.997183084487915,0.7367470725890128,0.7769314646720886
transformer,cnn_rnn,cnn,0.9982833237417282,0.9978858828544617,0.7650269346852456,0.7859649062156677
transformer,transformer,lstm,1.0,1.0,0.716347711701547,0.7520184516906738
transformer,transformer,cnn_rnn,0.9977072861886793,0.9978888034820557,0.7626634220923146,0.8106383085250854
transformer,transformer,transformer,0.9994438261755051,0.9992943406105042,0.7472204412183454,0.7907488346099854
transformer,transformer,cnn,0.9994797081716599,0.9992952942848206,0.7528371637867343,0.7952069640159607
transformer,cnn,lstm,0.998398530867792,0.9978858828544617,0.7575314775589974,0.7982358932495117
transformer,cnn,cnn_rnn,0.9981580982285161,0.9978829026222229,0.7597585647336899,0.8021857142448425
transformer,cnn,transformer,0.9989594173046851,0.9985895752906799,0.7499034481663858,0.8008255362510681
transformer,cnn,cnn,0.9978329673890145,0.9971790909767151,0.7544822481370741,0.800000011920929
cnn,lstm,lstm,1.0,1.0,0.7288562693903523,0.7706013321876526
cnn,lstm,cnn_rnn,1.0,1.0,0.7207902458406263,0.7664804458618164
cnn,lstm,transformer,1.0,1.0,0.718681029735073,0.763717770576477
cnn,lstm,cnn,1.0,1.0,0.7286016941070557,0.768539309501648
cnn,cnn_rnn,lstm,1.0,1.0,0.7298154177204255,0.768878698348999
cnn,cnn_rnn,cnn_rnn,1.0,1.0,0.7285268056777215,0.7738358974456787
cnn,cnn_rnn,transformer,1.0,1.0,0.710509721309908,0.7473807334899902
cnn,cnn_rnn,cnn,1.0,1.0,0.7053658827658622,0.7453704476356506
cnn,transformer,lstm,1.0,1.0,0.7269124427149373,0.7707641124725342
cnn,transformer,cnn_rnn,1.0,1.0,0.7126733160788014,0.7586206197738647
cnn,transformer,transformer,1.0,1.0,0.7156660479883994,0.7687224745750427
cnn,transformer,cnn,1.0,1.0,0.7470809490449967,0.7889503240585327
cnn,cnn,lstm,1.0,1.0,0.7423385891222185,0.7811447381973267
cnn,cnn,cnn_rnn,1.0,1.0,0.746193931948754,0.7872105240821838
cnn,cnn,transformer,1.0,1.0,0.7402092593331491,0.782320499420166
cnn,cnn,cnn,0.99953917053438,0.9992943406105042,0.745427978615607,0.7811447381973267
